City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Itu,BR,-23.2642,-47.2992,68.92,68,8,3.94,clear sky
119,El Alto,PE,-4.2714,-81.2147,65.86,88,58,16.15,broken clouds
120,El Angel,EC,0.6167,-77.9333,42.24,88,97,5.3,overcast clouds
121,Hidrolandia,BR,-4.4081,-40.4378,77.32,54,76,1.1,broken clouds
122,Uyuni,BO,-20.4597,-66.825,46.35,24,21,4.88,few clouds
123,Penalva,BR,-3.2942,-45.1736,76.28,80,91,2.66,overcast clouds
124,Chapadinha,BR,-3.7417,-43.3603,71.24,88,27,3.38,scattered clouds
125,Tarauaca,BR,-8.1614,-70.7656,75.85,69,49,1.77,scattered clouds
126,Orcopampa,PE,-15.2661,-72.3417,46.81,44,25,1.34,scattered clouds
127,Maraa,BR,-1.8333,-65.3667,73.02,95,48,2.91,scattered clouds
128,Arinos,BR,-15.9169,-46.1056,63.05,56,1,2.24,clear sky
129,Santa Fe Do Sul,BR,-20.2111,-50.9258,68.9,41,8,5.95,clear sky
130,San Julian,MX,21.0167,-102.1667,62.76,70,78,5.64,broken clouds
131,Guarapari,BR,-20.6667,-40.4975,66.88,83,3,5.06,clear sky
132,Oriximina,BR,-1.7656,-55.8661,77.49,71,32,2.35,scattered clouds
133,Machala,EC,-3.2667,-79.9667,71.55,90,82,3.27,broken clouds
134,La Rioja,ES,42.25,-2.5,55.18,87,0,3.18,clear sky
135,Arequipa,PE,-16.3989,-71.535,55.47,47,0,2.3,clear sky
136,Rio Gallegos,AR,-51.6226,-69.2181,33.85,69,0,20.71,clear sky
137,Linares,CL,-35.85,-71.6,45.82,86,0,3.58,clear sky
138,Mercedes,AR,-34.6515,-59.4307,63.64,95,100,12.1,overcast clouds
139,Nueva Imperial,CL,-38.7333,-72.95,45.25,89,100,0.22,overcast clouds
140,Fonte Boa,BR,-2.4959,-66.2662,74.52,88,9,2.93,clear sky
141,Manacapuru,BR,-3.2997,-60.6206,78.01,70,53,4.79,broken clouds
142,Harper,LR,4.375,-7.7169,75.22,75,99,11.45,overcast clouds
143,Constitucion,CL,-35.3333,-72.4167,48.61,78,7,4.14,clear sky
144,Turmalina,BR,-17.2856,-42.73,54.52,90,14,2.42,few clouds
145,Ladario,BR,-19.0047,-57.6017,72.91,40,0,0.56,clear sky
146,Acarau,BR,-2.8856,-40.12,79.07,77,100,14.9,overcast clouds
147,Requena,ES,39.4883,-1.1004,70.79,94,13,2.35,few clouds
148,Jacareacanga,BR,-6.2222,-57.7528,79.84,41,100,0.83,overcast clouds
149,Pimentel,PE,-6.8367,-79.9342,62.92,86,48,17.02,scattered clouds
150,El Carmen,CO,8.5106,-73.4478,67.78,97,99,3.74,overcast clouds
151,Trindade,BR,-16.6494,-49.4889,71.35,44,34,4.7,scattered clouds
152,Manoel Urbano,BR,-8.8389,-69.2597,76.8,62,6,1.63,clear sky
153,Pimenta Bueno,BR,-11.6725,-61.1936,73.33,45,4,2.19,clear sky
154,Acari,PE,-15.4311,-74.6158,61.41,86,43,3.2,scattered clouds
155,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,75.31,39,51,1.92,broken clouds
156,Vilhena,BR,-12.7406,-60.1458,68.95,47,6,3.98,clear sky
157,Codajas,BR,-3.8367,-62.0569,79.7,57,78,1.1,broken clouds
158,Hualmay,PE,-11.0964,-77.6139,61.97,85,39,11.34,scattered clouds
159,San Lorenzo,PY,-25.3333,-57.5333,67.59,82,40,0.0,scattered clouds
160,Camana,PE,-16.6228,-72.7111,60.24,85,60,9.51,broken clouds
161,Trinidad,BO,-14.8333,-64.9,76.5,47,9,3.2,clear sky
162,Prado,BR,-17.3411,-39.2208,69.08,85,55,2.42,broken clouds
163,Tiarei,PF,-17.5333,-149.3333,84.22,79,23,27.76,light rain
164,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.56,92,99,2.04,overcast clouds
165,Tocopilla,CL,-22.092,-70.1979,62.01,71,90,10.54,overcast clouds
166,Coruripe,BR,-10.1256,-36.1756,71.22,87,18,6.2,few clouds
167,Tabou,CI,4.423,-7.3528,75.02,76,97,11.18,overcast clouds
168,Neiafu,TO,-18.65,-173.9833,81.28,69,40,12.66,scattered clouds
169,Sechura,PE,-5.5569,-80.8222,63.97,81,6,17.25,clear sky
170,Palora,EC,-1.7,-77.9333,63.93,97,100,2.15,overcast clouds
171,San Carlos De Bariloche,AR,-41.1456,-71.3082,40.75,70,40,13.8,scattered clouds
172,Satipo,PE,-11.2522,-74.6386,72.5,76,60,2.19,broken clouds
173,Mumford,GH,5.2618,-0.759,74.32,90,33,14.52,scattered clouds
174,Carauari,BR,-4.8828,-66.8958,75.69,74,10,1.45,clear sky
175,Santa Helena De Goias,BR,-17.8136,-50.5969,68.7,34,2,2.98,clear sky
176,San Ramon,US,37.7799,-121.978,84.33,55,0,13.8,clear sky
177,Iquitos,PE,-3.7481,-73.2472,73.44,100,40,1.14,scattered clouds
178,Atocha,BO,-20.9333,-66.2333,47.03,26,57,2.64,broken clouds
179,Jandira,BR,-23.5275,-46.9025,67.71,93,8,1.77,clear sky
180,Prata,BR,-19.3072,-48.9242,64.65,43,1,3.2,clear sky
181,Osorno,CL,-40.5667,-73.15,43.25,100,40,0.0,scattered clouds
182,Sidrolandia,BR,-20.9319,-54.9614,71.49,38,2,3.09,clear sky
183,Diamantino,BR,-14.4086,-56.4461,71.33,39,0,4.94,clear sky
184,Aripuana,BR,-9.1667,-60.6333,73.56,46,5,1.03,clear sky
185,Alta Floresta,BR,-9.8756,-56.0861,71.71,41,0,2.51,clear sky
186,Soure,BR,-0.7167,-48.5233,78.82,81,52,8.72,broken clouds
187,Neuquen,AR,-38.9516,-68.0591,46.29,71,0,3.44,clear sky
188,San Patricio,US,28.017,-97.5169,87.75,65,5,12.91,clear sky
189,Tena,EC,-0.9833,-77.8167,68.18,91,100,2.46,overcast clouds
190,Porto Nacional,BR,-10.7081,-48.4172,75.2,42,0,2.28,clear sky
191,Jacobina,BR,-11.1806,-40.5183,61.16,95,0,3.58,clear sky
192,Villazon,BO,-22.0866,-65.5942,48.06,51,47,3.67,scattered clouds
193,Cocachacra,PE,-17.0883,-71.7575,59.52,83,49,3.62,scattered clouds
194,Itanhaem,BR,-24.1831,-46.7889,64.56,90,10,3.2,clear sky
195,Itaituba,BR,-4.2761,-55.9836,79.09,56,36,2.57,scattered clouds
196,Lano,NG,10.1725,11.4715,72.46,87,100,6.15,overcast clouds
197,Uarini,BR,-2.99,-65.1083,75.63,78,46,1.39,scattered clouds
198,Vaitape,PF,-16.5167,-151.75,78.69,75,13,25.48,few clouds
199,Omboue,GA,-1.5746,9.2618,70.84,89,64,6.08,broken clouds
200,Barreirinha,BR,-2.7933,-57.07,80.46,61,94,1.23,overcast clouds
201,Cobija,BO,-11.0267,-68.7692,76.5,64,23,2.04,few clouds
202,Urcos,PE,-13.6861,-71.6228,48.09,87,6,5.03,clear sky
203,Parelhas,BR,-6.6878,-36.6575,70.48,82,22,15.23,few clouds
204,Ilo,PE,-17.6394,-71.3375,59.25,83,55,6.13,broken clouds
205,Urubicha,BO,-15.3833,-62.95,73.42,44,8,2.75,clear sky
206,Valparaiso,CL,-33.0393,-71.6273,53.47,81,20,6.91,few clouds
